"R1","R2","R3","P1","P2","P3","P4","P5","TYPE","A1","B1","C1","F1","G1","A2","B2","C2","F2","G2","A3","B3","C3","F3","G3","FC","REFS","COMMENTS","TIMESTAMP"
"1CH2","C3H5",,"C2H4","C2H3",,,,"kooij","0.670E-10","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"1CH2","C3H7",,"C2H5","C2H4",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"1CH2","C3H7",,"C3H6","CH3",,,,"kooij","0.300E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"1CH2","C3H8",,"C2H5","C2H5",,,,"kooij","0.160E-09","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"1CH2","C4H2",,"C5H3","H",,,,"kooij","0.962E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with 1CH2 + C2H2","2022-08-24 10:47:06"
"1CH2","N2",,"3CH2","N2",,,,"kooij","0.110E-10","0.810E+00","0.000E+00","0.160E+01","0.000E+00",,,,,,,,,,,,,"Gannon et al. [2010a]","2022-08-24 10:47:06"
"1CH2","cC3H2",,"C4H3","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Capture rate constant considering no barrier in the entrance valley","2022-08-24 10:47:06"
"1CH2","tC3H2",,"C4H3","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Capture rate constant considering no barrier in the entrance valley","2022-08-24 10:47:06"
"1CH2","lC3H2",,"C4H3","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Capture rate constant considering no barrier in the entrance valley","2022-08-24 10:47:06"
"3CH2","H2",,"CH3","H",,,,"kooij","8.000E-12","0.000E+00","0.450E+04","0.100E+02","0.100E+04",,,,,,,,,,,,,"Tsang and Hampson [1986] - Upper limit ","2022-08-24 10:47:06"
"3CH2","3CH2",,"C2H2","H","H",,,"kooij","7.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C2H4 (Satyapal et al. [1990] - Chang et al. [1998a] - Chang et al. [1998b] - Lee et al. [2004])","2022-08-24 10:47:06"
"3CH2","3CH2",,"C2H2","H2",,,,"kooij","3.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C2H4 (Satyapal et al. [1990] - Chang et al. [1998a] - Chang et al. [1998b] - Lee et al. [2004])","2022-08-24 10:47:06"
"3CH2","3CH2",,"C2H3","H",,,,"kooij","5.000E-12","0.000E+00","0.000E+00","0.400E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C2H4 (Satyapal et al. [1990] - Chang et al. [1998a] - Chang et al. [1998b] - Lee et al. [2004])","2022-08-24 10:47:06"
"3CH2","CH3",,"C2H4","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"Wang & Fockenberg [2001] - Georgievskii & Klippenstein [2005]","2022-08-24 10:47:06"
"3CH2","CH4",,"CH3","CH3",,,,"kooij","0.713E-11","0.000E+00","0.505E+04","0.300E+01","0.100E+03",,,,,,,,,,,,,"Böhland et al. [1985a] - Upper limit","2022-08-24 10:47:06"
"3CH2","C2H",,"cC3H2","H",,,,"kooij","4.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C3H3 (Crider et al. [2009]) (Nguyen et al. [2001b])","2022-08-24 10:47:06"
"3CH2","C2H",,"tC3H2","H",,,,"kooij","2.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C3H3 (Crider et al. [2009]) (Nguyen et al. [2001b])","2022-08-24 10:47:06"
"3CH2","C2H",,"lC3H2","H",,,,"kooij","3.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C3H3 (Crider et al. [2009]) (Nguyen et al. [2001b])","2022-08-24 10:47:06"
"3CH2","C2H",,"cC3H","H2",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C3H3 (Crider et al. [2009]) (Nguyen et al. [2001b])","2022-08-24 10:47:06"
"3CH2","C2H",,"lC3H","H2",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with the photodissociation of C3H3 (Crider et al. [2009]) (Nguyen et al. [2001b])","2022-08-24 10:47:06"
"3CH2","C2H3",,"C2H2","CH3",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"3CH2","C2H5",,"C2H4","CH3",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"3CH2","cC3H",,"C4H2","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"by comparison with CH2+CH3 Wang and Fockenberg 2001 - Georgievskii and Klippenstein 2005","2022-08-24 10:47:06"
"3CH2","lC3H",,"C4H2","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"by comparison with CH2+CH3 Wang and Fockenberg 2001 - Georgievskii and Klippenstein 2005","2022-08-24 10:47:06"
"3CH2","cC3H2",,"C4H3","H",,,,"kooij","0.100E-12","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"value at 150-190K considering a small barrier","2022-08-24 10:47:06"
"3CH2","cC3H2",,"C2H2","C2H2",,,,"kooij","0.100E-12","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"value at 150-190K considering a small barrier","2022-08-24 10:47:06"
"3CH2","C3H3",,"C4H4","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Estimated by comparison with 3CH2 + 2CH3 (Wang & Fockenberg [2001] - Georgievskii & Klippenstein [2005])","2022-08-24 10:47:06"
"3CH2","C3H5",,"C4H6","H",,,,"kooij","0.500E-10","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991] - Miller [2004]","2022-08-24 10:47:06"
"3CH2","C3H5",,"C2H3","C2H4",,,,"kooij","0.120E-10","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991] - Miller [2004]","2022-08-24 10:47:06"
"3CH2","C3H7",,"C2H4","C2H5",,,,"kooij","0.301E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"3CH2","C3H7",,"C3H6","CH3",,,,"kooij","0.300E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"3CH2","C4H3",,"C4H2","CH3",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with CH2+C2H3","2022-08-24 10:47:06"
"CH3","H2",,"CH4","H",,,,"kooij","2.450E-14","2.880E+00","4.600E+03","1.120E+00","0.000E+00",,,,,,,,,,,,,"Baulch et al. [2005]","2022-08-24 10:47:06"
"CH3","CH3",,"C2H5","H",,,,"kooij","0.146E-10","0.100E+00","0.534E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Stewart et al. [1989]","2022-08-24 10:47:06"
"CH3","C2H",,"C3H3","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Tsang [1986] - Georgievskii & Klippenstein [2005]","2022-08-24 10:47:06"
"CH3","C2H3",,"C2H2","CH4",,,,"kooij","0.330E-10","0.000E+00","0.000E+00","0.140E+01","0.000E+00",,,,,,,,,,,,,"Hébrard et al. [2013]","2022-08-24 10:47:06"
"CH3","C2H4",,"C2H3","CH4",,,,"kooij","0.161E-13","0.370E+01","0.478E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"CH3","C2H5",,"C2H4","CH4",,,,"kooij","1.910E-12","0.000E+00","0.000E+00","0.250E+01","0.100E+03",,,,,,,,,,,,,"Hebrard et al. 2013","2022-08-24 10:47:06"
"CH3","C2H6",,"C2H5","CH4",,,,"kooij","0.182E-15","0.600E+01","0.304E+04","0.158E+01","0.100E+03",,,,,,,,,,,,,"Baulch et al. [1992]","2022-08-24 10:47:06"
"CH3","cC3H",,"C4H3","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"By comparison with CH3 + C2H5 - C3H7 (Klippenstein 2006)","2022-08-24 10:47:06"
"CH3","lC3H",,"C4H3","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"By comparison with CH3 + C2H5 - C3H7 (Klippenstein 2006)","2022-08-24 10:47:06"
"CH3","cC3H2",,"C4H4","H",,,,"kooij","6.000E-13","0.000E+00","1.200E+03","0.300E+01","2.000E+02",,,,,,,,,,,,,"M06-2X and MP2 cc-pVTZ + TST calculations","2022-08-24 10:47:06"
"CH3","tC3H2",,"C4H4","H",,,,"kooij","0.400E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00",,,,,,,,,,,,,"By comparison with 3CH2 + CH3 taking into consideration the size of the system","2022-08-24 10:47:06"
"CH3","tC3H2",,"C2H3","C2H2",,,,"kooij","0.100E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00",,,,,,,,,,,,,"By comparison with 3CH2 + CH3 taking into consideration the size of the system","2022-08-24 10:47:06"
"CH3","lC3H2",,"C4H4","H",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00",,,,,,,,,,,,,"No barrier at M06-2X/cc-pVTZ - MP2 not working on this case.","2022-08-24 10:47:06"
"CH3","lC3H2",,"C2H3","C2H2",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00",,,,,,,,,,,,,"No barrier at M06-2X/cc-pVTZ - MP2 not working on this case.","2022-08-24 10:47:06"
"CH3","CH3C2H",,"C2H6","C2H",,,,"kooij","0.832E-12","0.000E+00","0.443E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Kerr and Parsonage [1972]","2022-08-24 10:47:06"
"CH3","CH2CCH2",,"C2H5","C2H2",,,,"kooij","0.332E-12","0.000E+00","0.408E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Kerr and Parsonage [1972]","2022-08-24 10:47:06"
"CH3","C3H5",,"CH3C2H","CH4",,,,"kooij","0.403E-12","-0.320E+00","-0.660E+02","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"CH3","C3H5",,"CH2CCH2","CH4",,,,"kooij","0.403E-12","-0.320E+00","-0.660E+02","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"CH3","C3H6",,"C3H5","CH4",,,,"kooij","0.232E-12","0.000E+00","0.439E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Kinsman and Roscoe [1994]","2022-08-24 10:47:06"
"CH3","C3H7",,"C3H6","CH4",,,,"kooij","7.520E-12","0.680E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"CH3","C3H8",,"C3H7","CH4",,,,"kooij","0.165E-14","0.365E+01","0.360E+04","0.150E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"CH3","C4H",,"C5H3","H",,,,"kooij","0.400E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with CH3 + C2H","2022-08-24 10:47:06"
"CH3","C4H3",,"C4H2","CH4",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00",,,,,,,,,,,,,"By comparison with CH3+C2H3","2022-08-24 10:47:06"
"CH3","C4H4",,"C4H3","CH4",,,,"kooij","0.661E-12","0.000E+00","0.250E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Scherzer et al. [1985]","2022-08-24 10:47:06"
"CH3","C4H5",,"C4H4","CH4",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with CH3+C2H3","2022-08-24 10:47:06"
"CH3","C6H5",,"SOOTC",,,,,"kooij","6.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Vuitton et al [2012] leads to k(CH3+C6H5->toluene)=k_inf","2022-08-24 10:47:06"
"1C2","H2",,"C2H","H",,,,"kooij","0.177E-09","0.000E+00","1.469E+03","0.160E+01","0.200E+02",,,,,,,,,,,,,"Reisler et al. [1980] - Pitts et al. [1982]","2022-08-24 10:47:06"
"1C2","CH4",,"C2H","CH3",,,,"kooij","0.120E-10","0.000E+00","0.000E+00","0.180E+01","0.700E+01",,,,,,,,,,,,,"Richardson & Francisco [1994] - Canosa et al. [2007] - Paramo et al. [2008] - Matsugi et al. [2010] - Hornet et al. 1995","2022-08-24 10:47:06"
"1C2","C2H2",,"C4H","H",,,,"kooij","4.000E-10","0.000E+00","0.000E+00","0.160E+01","0.000E+00",,,,,,,,,,,,,"Canosa et al. [2007] - Daugey et al. [2008] - Paramo et al. [2008]","2022-08-24 10:47:06"
"1C2","C2H4",,"C4H3","H",,,,"kooij","3.000E-10","0.000E+00","0.000E+00","0.180E+01","0.000E+00",,,,,,,,,,,,,"Gu et al. [2006] - Mebel et al. [2006] - Canosa et al. [2007] - Paramo et al. [2008]","2022-08-24 10:47:06"
"1C2","C2H4",,"C2H2","C2H2",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"Gu et al. [2006] - Mebel et al. [2006] - Canosa et al. [2007] - Paramo et al. [2008]","2022-08-24 10:47:06"
"1C2","C2H6",,"C3H3","CH3",,,,"kooij","1.300E-10","-0.940E+00","4.400E+01","1.400E+00","0.000E+00",,,,,,,,,,,,,"Paramo et al. 2008 - Canosa et al. 2007","2022-08-24 10:47:06"
"1C2","C3H8",,"C3H3","C2H5",,,,"kooij","2.200E-10","-1.310E+00","9.400E+01","1.400E+00","0.000E+00",,,,,,,,,,,,,"Paramo et al. 2008 - Canosa et al. 2007","2022-08-24 10:47:06"
"1C2","C4H10",,"C3H3","C3H7",,,,"kooij","2.200E-10","-1.310E+00","9.400E+01","1.400E+00","0.000E+00",,,,,,,,,,,,,"By comparison with C2 + C3H8","2022-08-24 10:47:06"
"1C2","C6H4",,"C8H3","H",,,,"kooij","0.520E-09","0.000E+00","0.000E+00","0.160E+01","0.000E+00",,,,,,,,,,,,,"By comparison with 1C2 + C6H6","2022-08-24 10:47:06"
"1C2","C6H6",,"C8H5","H",,,,"kooij","0.520E-09","0.000E+00","0.000E+00","0.160E+01","0.000E+00",,,,,,,,,,,,,"Reisler et al. [1980]","2022-08-24 10:47:06"
"3C2","H2",,"C2H","H",,,,"kooij","1.550E-11","0.000E+00","3.012E+03","1.60","310",,,,,,,,,,,,,"Pasternak 1981","2022-08-24 10:47:06"
"3C2","N2",,"1C2","N2",,,,"kooij","1.000E-14","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"<3e-14 (Reisler et al. 1980b)","2022-08-24 10:47:06"
"3C2","C2H2",,"C4H","H",,,,"kooij","1.000E-10","-0.200E+00","0.000E+00","1.400E+00","1.000E+01",,,,,,,,,,,,,"Dauguey et al. 2008","2022-08-24 10:47:06"
"3C2","C2H4",,"C4H3","H",,,,"kooij","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,," (Reisler et al. 1980b) and branching ratio deduced C4H4 photodissociation (Stearns et al. 2006 - Cremer et al. 2006) taking into account the spin conservation.","2022-08-24 10:47:06"
"3C2","C2H4",,"C4H2","H2",,,,"kooij","3.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,," (Reisler et al. 1980b) and branching ratio deduced C4H4 photodissociation (Stearns et al. 2006 - Cremer et al. 2006) taking into account the spin conservation.","2022-08-24 10:47:06"
"3C2","C2H4",,"C2H2","C2H2",,,,"kooij","3.000E-11","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,," (Reisler et al. 1980b) and branching ratio deduced C4H4 photodissociation (Stearns et al. 2006 - Cremer et al. 2006) taking into account the spin conservation.","2022-08-24 10:47:06"
"3C2","C6H6",,"C8H5","H",,,,"kooij","7.600E-11","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"Reisler et al. 1980b","2022-08-24 10:47:06"
"C2H","H2",,"C2H2","H",,,,"kooij","0.120E-10","0.000E+00","0.998E+03","0.160E+01","0.570E+02",,,,,,,,,,,,,"Opansky and Leone [1996]","2022-08-24 10:47:06"
"C2H","CH4",,"C2H2","CH3",,,,"kooij","0.120E-10","0.000E+00","0.491E+03","0.120E+01","0.120E+02",,,,,,,,,,,,,"Opansky and Leone [1996a] - Murphy et al. [2003]","2022-08-24 10:47:06"
"C2H","C2H",,"C2H2","1C2",,,,"kooij","0.300E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H","C2H2",,"C4H2","H",,,,"kooij","0.130E-09","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"Vakhtin et al. [2001] - Chastaing et al. [1998]","2022-08-24 10:47:06"
"C2H","C2H3",,"C2H2","C2H2",,,,"kooij","0.160E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H","C2H3",,"C4H3","H",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H","C2H4",,"C4H4","H",,,,"kooij","0.140E-09","0.000E+00","0.000E+00","0.170E+01","0.000E+00",,,,,,,,,,,,,"Vakhtin et al. [2001] - Chastaing et al. [1998]","2022-08-24 10:47:06"
"C2H","C2H5",,"C2H4","C2H2",,,,"kooij","0.300E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H","C2H5",,"C3H3","CH3",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H","C2H6",,"C2H5","C2H2",,,,"kooij","0.510E-10","0.000E+00","0.760E+02","0.150E+01","0.200E+02",,,,,,,,,,,,,"Murphy et al. [2003]","2022-08-24 10:47:06"
"C2H","C3",,"C5","H",,,,"kooij","3.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Considering no barrier for this reaction","2022-08-24 10:47:06"
"C2H","cC3H2",,"C5H2","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Considering no barrier for this reaction","2022-08-24 10:47:06"
"C2H","tC3H2",,"C5H2","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Considering no barrier for this reaction","2022-08-24 10:47:06"
"C2H","lC3H2",,"C5H2","H",,,,"kooij","0.300E-09","0.000E+00","0.000E+00","0.300E+01","0.000E+00",,,,,,,,,,,,,"Considering no barrier for this reaction","2022-08-24 10:47:06"
"C2H","CH3C2H",,"C5H4","H",,,,"kooij","0.210E-09","-0.300E+00","0.000E+00","0.160E+01","0.000E+00",,,,,,,,,,,,,"Carty et al. [2001]","2022-08-24 10:47:06"
"C2H","CH2CCH2",,"C5H4","H",,,,"kooij","0.204E-09","-0.400E+00","0.000E+00","0.180E+01","0.000E+00",,,,,,,,,,,,,"Carty et al. [2001]","2022-08-24 10:47:06"
"C2H","C3H5",,"CH2CCH2","C2H2",,,,"kooij","0.120E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"C2H","C3H6",,"C4H4","CH3",,,,"kooij","2.000E-10","0.000E+00","0.000E+00","0.130E+01","0.000E+00",,,,,,,,,,,,,"Vakhtin et al. [2001] - Chastaing et al. [1998] - Woon & Park [2009]","2022-08-24 10:47:06"
"C2H","C3H7",,"C2H5","C3H3",,,,"kooij","0.200E-10","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"C2H","C3H7",,"C2H2","C3H6",,,,"kooij","0.100E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1988]","2022-08-24 10:47:06"
"C2H","C3H8",,"C3H7","C2H2",,,,"kooij","0.980E-10","0.000E+00","0.710E+02","0.190E+01","0.800E+02",,,,,,,,,,,,,"Murphy et al. [2003]","2022-08-24 10:47:06"
"C2H","C4H",,"C6H","H",,,,"kooij","0.300E-11","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"Considering no barrier for this reaction","2022-08-24 10:47:06"
"C2H","C4H2",,"C6H2","H",,,,"kooij","0.2540E-09","-0.310E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"Rennes 2013","2022-08-24 10:47:06"
"C2H","C4H3",,"C4H2","C2H2",,,,"kooij","0.160E-11","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H + C2H3","2022-08-24 10:47:06"
"C2H","C4H3",,"C6H3","H",,,,"kooij","0.300E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H + C2H3","2022-08-24 10:47:06"
"C2H","C4H4",,"C6H4","H",,,,"kooij","2.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"By comparison with C2H + C3H4","2022-08-24 10:47:06"
"C2H","C4H6",,"C6H6","H",,,,"kooij","2.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"By comparison with C2H + C3H6","2022-08-24 10:47:06"
"C2H","C4H8",,"C6H8","H",,,,"kooij","0.210E-09","0.000E+00","0.000E+00","0.150E+01","0.000E+00",,,,,,,,,,,,,"Nizamov et al. [2004]","2022-08-24 10:47:06"
"C2H","C4H10",,"C4H9","C2H2",,,,"kooij","0.123E-09","0.000E+00","0.000E+00","0.131E+01","0.000E+00",,,,,,,,,,,,,"Murphy et al. [2003]","2022-08-24 10:47:06"
"C2H","C6H2",,"C8H2","H",,,,"kooij","0.130E-09","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H + C2H2","2022-08-24 10:47:06"
"C2H","C6H4",,"C8H4","H",,,,"kooij","4.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00",,,,,,,,,,,,,"By comparison with C2H + C6H6","2022-08-24 10:47:06"
"C2H","C6H6",,"C6H5C2H","H",,,,"kooij","0.328E-09","-0.180E+00","0.000E+00","0.150E+01","0.300E+02",,,,,,,,,,,,,"Goulay and Leone [2006]","2022-08-24 10:47:06"
"C2H","C8H2",,"SOOTC",,,,,"kooij","0.130E-09","0.000E+00","0.000E+00","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H + C2H2","2022-08-24 10:47:06"
"C2H3","H2",,"C2H4","H",,,,"kooij","3.450E-14","2.560E+00","2.529E+03","3.000E+00","6.000E+02",,,,,,,,,,,,,"Knyasev et al. 1996 ,  Callear and Smith - 1986 ","2022-08-24 10:47:06"
"C2H3","CH4",,"C2H4","CH3",,,,"kooij","2.130E-14","4.020E+00","0.275E+04","3.000E+00","6.000E+02",,,,,,,,,,,,,"Tsang and Hampson [1986] - Liu et al. 2002 - this work","2022-08-24 10:47:06"
"C2H3","C2H3",,"C2H4","C2H2",,,,"kooij","0.350E-10","0.000E+00","0.000E+00","1.600E+00","0.000E+00",,,,,,,,,,,,,"Laufer and Fahr [2004]","2022-08-24 10:47:06"
"C2H3","C2H4",,"C4H6","H",,,,"kooij","7.000E-14","2.000E+00","0.143E+04","0.200E+01","0.100E+03",,,,,,,,,,,,,"Ismail et al. 2007. Addition channel leading to methylallyl is negligible for Titan's atmospheric conditions","2022-08-24 10:47:06"
"C2H3","C2H5",,"C2H4","C2H4",,,,"kooij","0.180E-10","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H3","C2H5",,"C2H6","C2H2",,,,"kooij","0.980E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H3","C2H6",,"C2H4","C2H5",,,,"kooij","0.146E-12","0.330E+01","0.528E+04","0.300E+01","0.600E+03",,,,,,,,,,,,,"Tsang and Hampson [1986]","2022-08-24 10:47:06"
"C2H3","cC3H2",,"C5H4","H",,,,"kooij","1.000E-11","0.000E+00","0.000E+00","0.300E+01","2.000E+02",,,,,,,,,,,,,"Submerged barrier at M06-2X and small (600 K) emerged barrier at MP2/cc-pVTZ. C5H4 = CH3-CC-CCH","2022-08-24 10:47:06"
"C2H3","CH3C2H",,"C5H6","H",,,,"kooij","0.331E-11","0.000E+00","0.252E+04","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H3 + C2H2 Tsang [1989]","2022-08-24 10:47:06"
"C2H3","CH2CCH2",,"C5H6","H",,,,"kooij","0.331E-11","0.000E+00","0.252E+04","0.100E+02","0.100E+03",,,,,,,,,,,,,"By comparison with C2H3 + C2H2 Tsang [1989]","2022-08-24 10:47:06"
"C2H3","C3H5",,"C3H6","C2H2",,,,"kooij","0.800E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"C2H3","C3H5",,"C2H4","CH3C2H",,,,"kooij","0.400E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"C2H3","C3H5",,"C5H7","H",,,,"kooij","0.800E-10","0.000E+00","0.000E+00","0.200E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
"C2H3","C3H5",,"C2H4","CH2CCH2",,,,"kooij","0.200E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03",,,,,,,,,,,,,"Tsang [1991]","2022-08-24 10:47:06"
