"R1","R2","R3","P1","P2","P3","P4","P5","TYPE","A1","B1","C1","F1","G1","A2","B2","C2","F2","G2","A3","B3","C3","F3","G3","FC","REFS","COMMENTS","TIMESTAMP"
"H","C4H4",,"iC4H5",,,,,"assocMD","7.100E-25","-9.190E+00","-1.010E+02","3.000E+00","0.100E+02","2.900E-12","0.860E+00","0.604E+02","0.300E+01","0.100E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Wang and Frenklach 1994","2022-08-24 10:47:06"
"H","C4H6",,"C4H7",,,,,"assocMD","1.400E-24","-2.480E+00","1.910E+02","4.000E+00","1.000E+02","7.900E-12","0.000E+00","0.000E+00","1.400E+00","1.000E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 = 10*k0(H+C3H4) - k_inf from Oka and Cvetanovic 1979","2022-08-24 10:47:06"
"H","C4H8",,"C4H9",,,,,"assocMD","1.400E-25","-2.480E+00","1.910E+02","1.000E+01","1.000E+02","3.970E-11","0.000E+00","1.060E+03","1.400E+00","1.000E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Harris and Pitts 1982 - Kyogoku et al. 1983 - This work","2022-08-24 10:47:06"
"H","C6H",,"C6H2",,,,,"assocMD","0.264E-25","-0.310E+01","0.721E+03","0.200E+01","0.100E+03","0.300E-09","0.000E+00","0.000E+00","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Kiefer and von Drasek [1990]","2022-08-24 10:47:06"
"H","C6H2",,"C6H3",,,,,"assocMD","3.000E-24","-2.930E+00","1.760E+02","1.000E+01","0.000E+00","1.600E-12","5.550E+00","-1.530E+02","2.000E+00","0.000E+00","5.600E-12","2.750E+00","5.030E+01","3.000E+01","0.000E+00","0.6",,"k0 = 10* k0( H + C4H2) - k_inf = k_inf(H + C4H2)","2022-08-24 10:47:06"
"H","C6H4",,"C6H5",,,,,"assocMD","5.170E-13","-1.8400E+01","6.690E+03","2.000E+00","1.000E+02","5.960E-11","1.110E+00","7.050E+02","2.000E+00","1.000E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"(Wang & Frenklach 1994) - (Madden et al. 1997) found no barrier for this reaction at B3LYP/6-31G level - M06-2X-ccpVTZ leads to k¥ = 2e-9exp(-320/T)","2022-08-24 10:47:06"
"H","C6H5",,"C6H6",,,,,"assocMD","4.000E-18","-2.540E+00","1.220E+02","1.000E+01","0.000E+00","1.400E-10","0.000E+00","-1.400E+01","2.000E+00","0.000E+00","1.400E-10","0.000E+00","-1.400E+01","3.000E+01","0.000E+00","0.6",,"Vuitton et al. 2012","2022-08-24 10:47:06"
"H","C6H6",,"C6H7",,,,,"assocMD","5.020E-29","0.000E+00","2.330E+03","2.000E+00","0.400E+03","2.800E-11","1.450E+00","0.196E+04","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Wang and Frenklach 1994 - Gordon et al. 1978","2022-08-24 10:47:06"
"C","H2",,"3CH2",,,,,"assocMD","0.700E-31","-1.500E+00","0.000E+00","0.200E+01","0.100E+03","0.206E-10","0.000E+00","0.570E+02","0.300E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Husain & Young [1975] - Harding et al. [1993]","2022-08-24 10:47:06"
"CH","H2",,"CH3",,,,,"assocMD","6.200E-30","-0.160E+01","0.000E+00","0.140E+01","0.100E+03","0.160E-09","-0.800E-01","0.000E+00","0.140E+01","0.210E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Brownsword et al. [1997] - Fulle & Hippler [1997]","2022-08-24 10:47:06"
"#CH3","CH3",,"C2H6",,,,,"assocMD","1.800E-26","-3.770E+00","6.160E+01","2.000E+00","0.000E+00","6.800E-11","-0.359E+00","3.020E+01","1.400E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","1.000E+02","0.000E+00","0.64",," (Vuitton et al. 2012) with some modifications to fit the experimental data from Slagle et al. 1988 - Cody et al.2002 - Cody et al. 2003). Very similar to (Moses et al. 2005) but with Fc = 0.64.","2022-08-24 10:47:06"
"#CH3","C2H5",,"C3H8",,,,,"assocMD","1.000E-24","-4.470E+00","9.500E+01","4.000E+00","0.000E+00","8.800E-11","-0.610E+00","4.480E+01","2.000E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","1.000E+01","0.000E+00","0.6",,"Vuitton et al. 2012 - Hébrard et al. [2013]","2022-08-24 10:47:06"
"CH3","C3H5",,"C4H8",,,,,"assocMD","1.100E-22","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","7.100E-11","-0.540E+00","-1.170E+02","1.600E+00","2.100E+01","3.400E-11","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Hébrard et al. [2013] - Knyazev & Slagle [2001] - Hébrard et al. [2013]","2022-08-24 10:47:06"
"CH3","C3H7",,"C4H10",,,,,"assocMD","2.700E-21","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","8.900E-11","-0.610E+00","4.480E+01","3.000E+00","0.000E+00","8.900E-11","-0.610E+00","4.480E+01","3.000E+00","0.000E+00","0.6",,"By comparison with CH3 + C2H5","2022-08-24 10:47:06"
"CH3","C4H3",,"C5H6",,,,,"assocMD","2.200E-21","-3.500E+00","0.000E+00","0.100E+02","0.000E+00","8.000E-11","0.000E+00","0.000E+00","0.200E+01","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Using our semi empirical model - Hebrard [2012]","2022-08-24 10:47:06"
