REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"NH2+ + HCN";"kooij";"Logn(1.2e-09,2)";"Delta(0)";"Delta(0)";1;"HCNH+ + NH";"Vuitton2007";"NA";"NA";"Vuitton2007";"NA";2022-08-19 09:23:57
"NH2+ + N4S";"kooij";"Logn(9.1e-11,2)";"Delta(0)";"Delta(0)";1;"N2H+ + H";"Vuitton2007";"NA";"NA";"Vuitton2007";"NA";2022-08-19 09:23:57
"NH2+ + NH3";"kooij";"Logn(2.3e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.50<NH3+ + NH2>,0.50<NH4+ + NH>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH2+ + NO";"kooij";"Logn(7e-10,1.2)";"Delta(0)";"Delta(0)";1;"NO+ + NH2";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"NH3+ + C2H4";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";1;"NH4+ + C2H3";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH3+ + CH3NH2";"kooij";"Logn(1.8e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.50<CH3NH2+ + NH3>,0.35<CH3NH3+ + NH2>,0.15<NH4+ + CH2NH2>;0.10,0.12,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH3+ + CH4";"kooij";"Logn(4.8e-10,1.2)";"Delta(0)";"Delta(0)";1;"NH4+ + CH3";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH3+ + E";"dr";"Logn(3.1e-7,2)";"Unif(0.5,1.5)";"Delta(0)";5;"Diri(1<NH2 + H>,1*Dior(2<NH + H2>,1<NH + H + H>),1*Dior(2<N4S + H2 + H>,1<N4S + H + H + H>);1)";"Woodall2007";"Plessis2010";"NA";"Plessis2010";"NA";2022-08-19 09:23:57
"NH3+ + H2";"kooij";"Logn(4.4e-13,1.2)";"Delta(0)";"Delta(0)";1;"NH4+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH3+ + H2O";"kooij";"Logn(2.5e-10,1.3)";"Delta(0)";"Delta(0)";1;"NH4+ + OH";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH3+ + NH3";"kooij";"Logn(2.1e-09,1.12)";"Delta(0)";"Delta(0)";1;"NH4+ + NH2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH3+ + O3P";"kooij";"Logn(2e-11,2)";"Delta(0)";"Delta(0)";2;"Dirg(0.50<HNO+ + H2>,0.50<H2NO+ + H>;0.10,0.10)";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"NH4+ + CH3NH2";"kooij";"Logn(1.4e-09,1.3)";"Delta(0)";"Delta(0)";1;"CH3NH3+ + NH3";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH4+ + E";"dr";"Logu(9e-7,15.0e-7)";"Norm(0.75,0.15)";"Delta(0)";5;"Dirg(0.839<NH3 + H>,0.02<NH2 + H2>,0.13<NH2 + H + H>,0.01<NH + H + H2>,0.001<N4S + H2 + H2>;0.04,0.02,0.01,0.01,0.001)";"Florescu2006;Ojekull2004;Huang1976;DuBois1978";"Florescu2006;Ojekull2004;DuBois1978";"NA";"Huang1976;DuBois1978;Adams1991;Adams2006";"NA";2022-08-19 09:23:57
"NO+ + E";"dr";"Logn(4.e-7,1.20)";"Nort(0.9,0.05,0.5,1.5)";"Delta(0)";1;"N2D + O3P";"Florescu2006";"Florescu2006";"NA";"Vejby-Christensen1998;Larsson2008";"NA";2022-08-19 09:23:57
"NO2+ + E";"dr";"Logn(3e-07,2)";"Delta(5e-01)";"Delta(0)";1;"NO + O3P";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"NO2+ + H2";"kooij";"Logn(1.5e-10,2)";"Delta(0)";"Delta(0)";1;"NO+ + H2O";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"O+ + C2H2";"kooij";"Logn(6.2e-11,1.3)";"Delta(0)";"Delta(0)";1;"C2H2+ + O3P";"Vuitton2019";"NA";"NA";"Vuitton2019";"NA";2022-08-19 09:23:57
"O+ + C2H4";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.05<C2H4+ + O3P>,0.15<C2H3+ + OH>,0.80<C2H2+ + H2O>;0.03,0.03,0.03)";"Smith1992";"NA";"NA";"Smith1992";"NA";2022-08-19 09:23:57
"O+ + C2H6";"kooij";"Logn(1.7e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.3<C2H5+ + OH>,0.7<C2H4+ + H2O>;0.07,0.07)";"Smith1992";"NA";"NA";"Smith1992";"NA";2022-08-19 09:23:57
"O+ + C6H6";"kooij";"Logn(1.9e-09,1.3)";"Delta(0)";"Delta(0)";1;"C6H6+ + O3P";"Arnold1999";"NA";"NA";"Arnold1999";"NA";2022-08-19 09:23:57
"O+ + CH3CN";"kooij";"Logn(4.2e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.70<CH3CN+ + O3P>,0.30<C2H3+ + NO>;0.07,0.07)";"Vuitton2019";"NA";"NA";"Vuitton2019";"NA";2022-08-19 09:23:57
"O+ + CH3NH2";"kooij";"Logn(2.1e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.06<CH3NH2+ + O3P>,0.79<CH2NH2+ + OH>,0.15<CH2NH+ + H2O>;0.06,0.06,0.06)";"Vuitton2019";"NA";"NA";"Vuitton2019";"NA";2022-08-19 09:23:57
"O+ + CH3OH";"kooij";"Logn(1.9e-09,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.05<H2CO+ + H2O>,0.70<CH2OH+ + OH>,0.25<CH3OH+ + O3P>;0.05,0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + CH4";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.8<CH4+ + O3P>,0.2<CH3+ + OH>;0.02,0.02)";"Smith1992";"NA";"NA";"Smith1992";"NA";2022-08-19 09:23:57
"O+ + H";"kooij";"Logn(6.4e-10,1.3)";"Delta(0)";"Delta(0)";1;"H+ + O3P";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + H2";"kooij";"Logn(1.62e-09,1.3)";"Delta(0)";"Delta(0)";1;"OH+ + H";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + H2CO";"kooij";"Logn(3.5e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.40<HCO+ + OH>,0.60<H2CO+ + O3P>;0.04,0.04)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + H2O";"kooij";"Logn(2.6e-09,1.15)";"Delta(0)";"Delta(0)";1;"H2O+ + O3P";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + HCN";"kooij";"Logn(2.51e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.02<HCN+ + O3P>,0.45<HCO+ + N4S>,0.53<NO+ + CH>;0.05,0.05,0.05)";"Vuitton2019";"NA";"NA";"Vuitton2019";"NA";2022-08-19 09:23:57
"O+ + N2";"kooij";"Logn(4.60e-09,1.2)";"Delta(1.37e+00)";"Delta(2.86e+01)";1;"NO+ + N4S";"Vuitton2019";"Vuitton2019";"Vuitton2019";"NA";"Includes 1/T0^BETA";2022-08-19 09:23:57
"O+ + NH3";"kooij";"Logn(1.1e-09,1.3)";"Delta(0)";"Delta(0)";1;"NH3+ + O3P";"Smith1992";"NA";"NA";"Smith1992";"NA";2022-08-19 09:23:57
"O+ + NO";"kooij";"Logn(4.10e-09,1.2)";"Delta(1.37e+00)";"Delta(1.21e+01)";1;"NO+ + O3P";"Vuitton2019";"Vuitton2019";"Vuitton2019";"NA";"Includes 1/T0^BETA";2022-08-19 09:23:57
"O+ + NO2";"kooij";"Logn(1.6e-09,1.3)";"Delta(0)";"Delta(0)";1;"NO2+ + O3P";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O+ + OH";"ionpol1";"Logn(8.45e-10,2)";"Delta(5.50e+00)";"Delta(0)";2;"Dirg(0.50<O2+ + H>,0.50<OH+ + O3P>;0.10,0.10)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"O2+ + CH3OH";"kooij";"Logn(1e-09,1.5)";"Delta(0)";"Delta(0)";2;"Dirg(0.50<CH2OH+ + HO2>,0.50<CH3OH+ + O2>;0.10,0.10)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"O2+ + HCO";"ionpol1";"Logn(9.60e-10,2)";"Delta(3.58e+00)";"Delta(0)";2;"Dirg(0.50<HO2+ + CO>,0.50<HCO+ + O2>;0.10,0.10)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"O2+ + NH";"ionpol1";"Logn(8.82e-10,2)";"Delta(4.40e+00)";"Delta(0)";2;"Dirg(0.5<HNO+ + O3P>,0.5<NO2+ + H>;0.1,0.1)";"Woon2009";"Woon2009";"NA";"Woon2009";"NA";2022-08-19 09:23:57
"O2+ + NO2";"kooij";"Logn(6.6e-10,1.3)";"Delta(0)";"Delta(0)";1;"NO2+ + O2";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + C2H6";"kooij";"Logn(1.6e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.10<H3O+ + C2H4>,0.65<C2H4+ + H2O + H>,0.20<C2H5+ + H2O>,0.03<C2H6+ + OH>,0.02<C2H7+ + O3P>;0.05,0.05,0.05,0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + CH4";"kooij";"Logn(1.45e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.13<CH5+ + O3P>,0.87<H3O+ + 3CH2>;0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + CO";"kooij";"Logn(8.4e-10,1.2)";"Delta(0)";"Delta(0)";1;"HCO+ + O3P";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + H2";"kooij";"Logn(9.7e-09,1.2)";"Delta(0)";"Delta(0)";1;"H2O+ + H";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + H2CO";"kooij";"Logn(1.86e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.40<H2CO+ + OH>,0.60<CH2OH+ + O3P>;0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + H2O";"kooij";"Logn(2.89e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.55<H2O+ + OH>,0.45<H3O+ + O3P>;0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + N2";"kooij";"Logn(2.4e-10,1.3)";"Delta(0)";"Delta(0)";1;"N2H+ + O3P";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + NH3";"kooij";"Logn(1.84e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.5<NH3+ + OH>,0.5<NH4+ + O3P>;0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + NO";"kooij";"Logn(8.15e-10,1.15)";"Delta(0)";"Delta(0)";1;"NO+ + OH";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"OH+ + O3P";"kooij";"Logn(7.1e-10,2)";"Delta(0)";"Delta(0)";1;"O2+ + H";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
