REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"N2+ + E";"dr";"Logn(2.2e-7,1.25)";"Norm(0.35,0.05)";"Delta(0)";3;"Dirg(0.42<N4S + N2D>,0.09<N4S + N2P>,0.49<N2D + N2D>;0.1,0.09,0.1)";"Zipf1980;Kasner1967;Mehr1969;Mahdavi1971;Cunningham1972;Geoghegan1991;Canosa1991;Peterson1998";"Zipf1980;Kasner1967;Mehr1969;Mahdavi1971;Cunningham1972;Peterson1998";"NA";"Peterson1998;Kella1996";"NA";2022-08-19 09:23:57
"N2+ + H2";"kooij";"Logn(1.56e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.99<N2H+ + H>,0.01<H2+ + N2>;0.01,0.01)";"Dutuit2013";"NA";"NA";"Dutuit2013";"Other avlue proposed in ref: 1.3e-9@150K";2022-08-19 09:23:57
"N2+ + H2O";"kooij";"Logn(2.4e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.79<H2O+ + N2>,0.21<N2H+ + OH>;0.08,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2+ + HC3N";"kooij";"Logn(3.5e-09,1.25)";"Delta(0)";"Delta(0)";1;"HC3N+ + N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2+ + HCN";"kooij";"Logn(3.9e-10,1.1)";"Delta(0)";"Delta(0)";1;"HCN+ + N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2+ + NH3";"kooij";"Logn(1.95e-09,1.1)";"Delta(0)";"Delta(0)";1;"NH3+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2+ + O2";"kooij";"Logn(5e-11,1.15)";"Delta(0)";"Delta(0)";1;"O2+ + N2";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"N2CH3+ + E";"dr";"Logn(3e-07,2)";"Delta(0)";"Delta(0)";1;"Products";"Test";"NA";"NA";"Test";"NA";2022-08-19 09:23:57
"N2H+ + C2H2";"kooij";"Logn(1.41e-09,1.15)";"Delta(0)";"Delta(0)";1;"C2H3+ + N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2H+ + C2H4";"kooij";"Logn(1.3e-09,2)";"Delta(0)";"Delta(0)";1;"C2H5+ + N2";"Milligan2002";"NA";"NA";"Milligan2002";"NA";2022-08-19 09:23:57
