 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 1524.0 3.72E-18 1.86E-18 1.86E-18 0.00E+00 0.00E+00
 1528.0 5.95E-18 2.97E-18 2.97E-18 0.00E+00 0.00E+00
 1538.0 3.35E-18 1.67E-18 1.67E-18 0.00E+00 0.00E+00
 1544.0 5.95E-18 2.97E-18 2.97E-18 0.00E+00 0.00E+00
 1550.0 2.98E-18 1.49E-18 1.49E-18 0.00E+00 0.00E+00
 1558.0 5.58E-18 2.79E-18 2.79E-18 0.00E+00 0.00E+00
 1565.0 2.23E-18 1.12E-18 1.12E-18 0.00E+00 0.00E+00
 1573.0 3.34E-18 1.67E-18 1.67E-18 0.00E+00 0.00E+00
 1582.0 1.79E-18 8.95E-19 8.95E-19 0.00E+00 0.00E+00
 1587.0 2.23E-18 1.12E-18 1.12E-18 0.00E+00 0.00E+00
 1600.0 1.41E-18 7.05E-19 7.05E-19 0.00E+00 0.00E+00
 1640.0 3.72E-19 1.86E-19 1.86E-19 0.00E+00 0.00E+00
 1665.0 2.60E-19 1.30E-19 1.30E-19 0.00E+00 0.00E+00
 1675.0 3.35E-19 1.67E-19 1.67E-19 0.00E+00 0.00E+00
 1680.0 2.98E-19 1.49E-19 1.49E-19 0.00E+00 0.00E+00
 1685.0 3.72E-19 1.86E-19 1.86E-19 0.00E+00 0.00E+00
 1690.0 3.16E-19 1.58E-19 1.58E-19 0.00E+00 0.00E+00
 1695.0 5.21E-19 2.60E-19 2.60E-19 0.00E+00 0.00E+00
 1700.0 4.09E-19 2.04E-19 2.04E-19 0.00E+00 0.00E+00
 1711.0 3.82E-19 1.91E-19 1.91E-19 0.00E+00 0.00E+00
 1712.0 3.68E-19 1.84E-19 1.84E-19 0.00E+00 0.00E+00
 1713.0 4.25E-19 2.13E-19 2.13E-19 0.00E+00 0.00E+00
 1714.0 3.93E-19 1.96E-19 1.96E-19 0.00E+00 0.00E+00
 1715.0 5.45E-19 2.72E-19 2.72E-19 0.00E+00 0.00E+00
 1716.0 6.10E-19 3.05E-19 3.05E-19 0.00E+00 0.00E+00
 1717.0 6.20E-19 3.10E-19 3.10E-19 0.00E+00 0.00E+00
 1718.0 6.32E-19 3.16E-19 3.16E-19 0.00E+00 0.00E+00
 1719.0 5.72E-19 2.86E-19 2.86E-19 0.00E+00 0.00E+00
 1720.0 4.79E-19 2.40E-19 2.40E-19 0.00E+00 0.00E+00
 1721.0 4.56E-19 2.28E-19 2.28E-19 0.00E+00 0.00E+00
 1722.0 4.55E-19 2.27E-19 2.27E-19 0.00E+00 0.00E+00
 1723.0 4.86E-19 2.43E-19 2.43E-19 0.00E+00 0.00E+00
 1724.0 5.36E-19 2.68E-19 2.68E-19 0.00E+00 0.00E+00
