 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 1952.0 5.17E-18 2.59E-18 2.59E-18 0.00E+00 0.00E+00
 1953.0 4.93E-18 2.46E-18 2.46E-18 0.00E+00 0.00E+00
 1954.0 4.89E-18 2.45E-18 2.45E-18 0.00E+00 0.00E+00
 1955.0 4.77E-18 2.39E-18 2.39E-18 0.00E+00 0.00E+00
 1956.0 4.17E-18 2.09E-18 2.09E-18 0.00E+00 0.00E+00
 1957.0 2.99E-18 1.49E-18 1.49E-18 0.00E+00 0.00E+00
 1958.0 2.55E-18 1.27E-18 1.27E-18 0.00E+00 0.00E+00
 1959.0 5.09E-18 2.54E-18 2.54E-18 0.00E+00 0.00E+00
 1960.0 1.19E-17 5.95E-18 5.95E-18 0.00E+00 0.00E+00
 1961.0 1.99E-17 9.95E-18 9.95E-18 0.00E+00 0.00E+00
 1962.0 1.40E-17 7.00E-18 7.00E-18 0.00E+00 0.00E+00
 1963.0 1.13E-17 5.65E-18 5.65E-18 0.00E+00 0.00E+00
 1964.0 8.99E-18 4.50E-18 4.50E-18 0.00E+00 0.00E+00
 1965.0 7.07E-18 3.54E-18 3.54E-18 0.00E+00 0.00E+00
 1966.0 5.35E-18 2.68E-18 2.68E-18 0.00E+00 0.00E+00
 1967.0 4.70E-18 2.35E-18 2.35E-18 0.00E+00 0.00E+00
 1968.0 5.69E-18 2.84E-18 2.84E-18 0.00E+00 0.00E+00
 1969.0 5.23E-18 2.61E-18 2.61E-18 0.00E+00 0.00E+00
 1970.0 4.08E-18 2.04E-18 2.04E-18 0.00E+00 0.00E+00
 1971.0 3.51E-18 1.75E-18 1.75E-18 0.00E+00 0.00E+00
 1972.0 2.64E-18 1.32E-18 1.32E-18 0.00E+00 0.00E+00
 1973.0 6.27E-18 3.13E-18 3.13E-18 0.00E+00 0.00E+00
 1974.0 1.30E-17 6.50E-18 6.50E-18 0.00E+00 0.00E+00
 1975.0 1.15E-17 5.75E-18 5.75E-18 0.00E+00 0.00E+00
 1976.0 1.82E-17 9.10E-18 9.10E-18 0.00E+00 0.00E+00
 1977.0 1.38E-17 6.90E-18 6.90E-18 0.00E+00 0.00E+00
 1978.0 1.59E-17 7.95E-18 7.95E-18 0.00E+00 0.00E+00
 1979.0 1.11E-17 5.55E-18 5.55E-18 0.00E+00 0.00E+00
 1980.0 7.74E-18 3.87E-18 3.87E-18 0.00E+00 0.00E+00
 1981.0 7.36E-18 3.68E-18 3.68E-18 0.00E+00 0.00E+00
 1982.0 5.01E-18 2.51E-18 2.51E-18 0.00E+00 0.00E+00
 1983.0 4.15E-18 2.08E-18 2.08E-18 0.00E+00 0.00E+00
 1984.0 4.10E-18 2.05E-18 2.05E-18 0.00E+00 0.00E+00
 1985.0 3.82E-18 1.91E-18 1.91E-18 0.00E+00 0.00E+00
 1986.0 2.83E-18 1.41E-18 1.41E-18 0.00E+00 0.00E+00
 1987.0 2.02E-18 1.01E-18 1.01E-18 0.00E+00 0.00E+00
 1988.0 3.74E-18 1.87E-18 1.87E-18 0.00E+00 0.00E+00
 1989.0 1.01E-17 5.05E-18 5.05E-18 0.00E+00 0.00E+00
 1990.0 7.98E-18 3.99E-18 3.99E-18 0.00E+00 0.00E+00
 1991.0 1.86E-17 9.30E-18 9.30E-18 0.00E+00 0.00E+00
 1992.0 1.97E-17 9.85E-18 9.85E-18 0.00E+00 0.00E+00
 1993.0 1.30E-17 6.50E-18 6.50E-18 0.00E+00 0.00E+00
 1994.0 9.21E-18 4.60E-18 4.60E-18 0.00E+00 0.00E+00
 1995.0 6.23E-18 3.11E-18 3.11E-18 0.00E+00 0.00E+00
 1996.0 4.91E-18 2.46E-18 2.46E-18 0.00E+00 0.00E+00
 1997.0 5.93E-18 2.97E-18 2.97E-18 0.00E+00 0.00E+00
 1998.0 5.69E-18 2.84E-18 2.84E-18 0.00E+00 0.00E+00
 1999.0 4.29E-18 2.15E-18 2.15E-18 0.00E+00 0.00E+00
 2000.0 3.46E-18 1.73E-18 1.73E-18 0.00E+00 0.00E+00
 2001.0 2.56E-18 1.28E-18 1.28E-18 0.00E+00 0.00E+00
 2002.0 1.92E-18 9.60E-19 9.60E-19 0.00E+00 0.00E+00
 2003.0 1.30E-18 6.50E-19 6.50E-19 0.00E+00 0.00E+00
 2004.0 7.04E-18 3.52E-18 3.52E-18 0.00E+00 0.00E+00
 2005.0 1.90E-17 9.50E-18 9.50E-18 0.00E+00 0.00E+00
 2006.0 1.74E-17 8.70E-18 8.70E-18 0.00E+00 0.00E+00
 2007.0 1.16E-17 5.80E-18 5.80E-18 0.00E+00 0.00E+00
 2008.0 1.12E-17 5.60E-18 5.60E-18 0.00E+00 0.00E+00
 2009.0 9.54E-18 4.77E-18 4.77E-18 0.00E+00 0.00E+00
 2010.0 8.83E-18 4.42E-18 4.42E-18 0.00E+00 0.00E+00
 2011.0 6.86E-18 3.43E-18 3.43E-18 0.00E+00 0.00E+00
 2012.0 4.57E-18 2.29E-18 2.29E-18 0.00E+00 0.00E+00
 2013.0 4.03E-18 2.02E-18 2.02E-18 0.00E+00 0.00E+00
 2014.0 3.69E-18 1.84E-18 1.84E-18 0.00E+00 0.00E+00
 2015.0 3.55E-18 1.78E-18 1.78E-18 0.00E+00 0.00E+00
 2016.0 2.58E-18 1.29E-18 1.29E-18 0.00E+00 0.00E+00
 2017.0 1.85E-18 9.25E-19 9.25E-19 0.00E+00 0.00E+00
 2018.0 2.54E-18 1.27E-18 1.27E-18 0.00E+00 0.00E+00
 2019.0 9.59E-18 4.80E-18 4.80E-18 0.00E+00 0.00E+00
 2020.0 8.92E-18 4.46E-18 4.46E-18 0.00E+00 0.00E+00
 2021.0 8.33E-18 4.16E-18 4.16E-18 0.00E+00 0.00E+00
 2022.0 1.78E-17 8.90E-18 8.90E-18 0.00E+00 0.00E+00
 2023.0 1.62E-17 8.10E-18 8.10E-18 0.00E+00 0.00E+00
 2024.0 1.03E-17 5.15E-18 5.15E-18 0.00E+00 0.00E+00
 2025.0 7.16E-18 3.58E-18 3.58E-18 0.00E+00 0.00E+00
 2026.0 5.04E-18 2.52E-18 2.52E-18 0.00E+00 0.00E+00
 2027.0 4.81E-18 2.40E-18 2.40E-18 0.00E+00 0.00E+00
 2028.0 5.06E-18 2.53E-18 2.53E-18 0.00E+00 0.00E+00
 2029.0 4.05E-18 2.03E-18 2.03E-18 0.00E+00 0.00E+00
 2030.0 2.97E-18 1.48E-18 1.48E-18 0.00E+00 0.00E+00
 2031.0 2.18E-18 1.09E-18 1.09E-18 0.00E+00 0.00E+00
 2032.0 2.00E-18 1.00E-18 1.00E-18 0.00E+00 0.00E+00
 2033.0 1.72E-18 8.60E-19 8.60E-19 0.00E+00 0.00E+00
 2034.0 1.19E-18 5.95E-19 5.95E-19 0.00E+00 0.00E+00
 2035.0 4.21E-18 2.10E-18 2.10E-18 0.00E+00 0.00E+00
 2036.0 1.90E-17 9.50E-18 9.50E-18 0.00E+00 0.00E+00
 2037.0 1.76E-17 8.80E-18 8.80E-18 0.00E+00 0.00E+00
 2038.0 1.16E-17 5.80E-18 5.80E-18 0.00E+00 0.00E+00
 2039.0 1.04E-17 5.20E-18 5.20E-18 0.00E+00 0.00E+00
 2040.0 8.40E-18 4.20E-18 4.20E-18 0.00E+00 0.00E+00
 2041.0 6.86E-18 3.43E-18 3.43E-18 0.00E+00 0.00E+00
 2042.0 5.51E-18 2.75E-18 2.75E-18 0.00E+00 0.00E+00
 2043.0 3.74E-18 1.87E-18 1.87E-18 0.00E+00 0.00E+00
 2044.0 2.65E-18 1.33E-18 1.33E-18 0.00E+00 0.00E+00
 2045.0 2.17E-18 1.09E-18 1.09E-18 0.00E+00 0.00E+00
 2046.0 3.00E-18 1.50E-18 1.50E-18 0.00E+00 0.00E+00
 2047.0 2.59E-18 1.30E-18 1.30E-18 0.00E+00 0.00E+00
 2048.0 1.89E-18 9.45E-19 9.45E-19 0.00E+00 0.00E+00
 2049.0 1.35E-18 6.75E-19 6.75E-19 0.00E+00 0.00E+00
 2050.0 4.58E-18 2.29E-18 2.29E-18 0.00E+00 0.00E+00
 2051.0 9.60E-18 4.80E-18 4.80E-18 0.00E+00 0.00E+00
 2052.0 7.30E-18 3.65E-18 3.65E-18 0.00E+00 0.00E+00
 2053.0 1.21E-17 6.05E-18 6.05E-18 0.00E+00 0.00E+00
 2054.0 1.41E-17 7.05E-18 7.05E-18 0.00E+00 0.00E+00
 2055.0 1.13E-17 5.65E-18 5.65E-18 0.00E+00 0.00E+00
 2056.0 7.83E-18 3.92E-18 3.92E-18 0.00E+00 0.00E+00
 2057.0 5.77E-18 2.89E-18 2.89E-18 0.00E+00 0.00E+00
 2058.0 4.00E-18 2.00E-18 2.00E-18 0.00E+00 0.00E+00
 2059.0 2.96E-18 1.48E-18 1.48E-18 0.00E+00 0.00E+00
 2060.0 3.06E-18 1.53E-18 1.53E-18 0.00E+00 0.00E+00
 2061.0 3.01E-18 1.51E-18 1.51E-18 0.00E+00 0.00E+00
 2062.0 2.12E-18 1.06E-18 1.06E-18 0.00E+00 0.00E+00
 2063.0 1.47E-18 7.35E-19 7.35E-19 0.00E+00 0.00E+00
 2064.0 1.07E-18 5.35E-19 5.35E-19 0.00E+00 0.00E+00
 2065.0 1.06E-18 5.30E-19 5.30E-19 0.00E+00 0.00E+00
 2066.0 8.47E-19 5.08E-19 3.39E-19 0.00E+00 0.00E+00
 2067.0 4.30E-18 3.01E-18 1.29E-18 0.00E+00 0.00E+00
 2068.0 1.12E-17 8.96E-18 2.24E-18 0.00E+00 0.00E+00
 2069.0 1.78E-17 1.60E-17 1.78E-18 0.00E+00 0.00E+00
 2070.0 1.29E-17 1.29E-17 0.00E+00 0.00E+00 0.00E+00
 2071.0 9.70E-18 9.70E-18 0.00E+00 0.00E+00 0.00E+00
 2072.0 6.89E-18 6.89E-18 0.00E+00 0.00E+00 0.00E+00
 2073.0 5.49E-18 5.49E-18 0.00E+00 0.00E+00 0.00E+00
 2074.0 4.37E-18 4.37E-18 0.00E+00 0.00E+00 0.00E+00
 2075.0 3.40E-18 3.40E-18 0.00E+00 0.00E+00 0.00E+00
 2076.0 2.59E-18 2.59E-18 0.00E+00 0.00E+00 0.00E+00
 2077.0 1.93E-18 1.93E-18 0.00E+00 0.00E+00 0.00E+00
 2078.0 1.35E-18 1.35E-18 0.00E+00 0.00E+00 0.00E+00
 2079.0 1.06E-18 1.06E-18 0.00E+00 0.00E+00 0.00E+00
 2080.0 1.12E-18 1.12E-18 0.00E+00 0.00E+00 0.00E+00
 2081.0 8.20E-19 8.20E-19 0.00E+00 0.00E+00 0.00E+00
 2082.0 6.12E-19 6.12E-19 0.00E+00 0.00E+00 0.00E+00
 2083.0 3.05E-18 3.05E-18 0.00E+00 0.00E+00 0.00E+00
 2084.0 9.62E-18 9.62E-18 0.00E+00 0.00E+00 0.00E+00
 2085.0 1.14E-17 1.14E-17 0.00E+00 0.00E+00 0.00E+00
 2086.0 1.02E-17 1.02E-17 0.00E+00 0.00E+00 0.00E+00
 2087.0 8.96E-18 8.96E-18 0.00E+00 0.00E+00 0.00E+00
 2088.0 8.40E-18 8.40E-18 0.00E+00 0.00E+00 0.00E+00
 2089.0 6.71E-18 6.71E-18 0.00E+00 0.00E+00 0.00E+00
 2090.0 4.90E-18 4.90E-18 0.00E+00 0.00E+00 0.00E+00
 2091.0 3.56E-18 3.56E-18 0.00E+00 0.00E+00 0.00E+00
 2092.0 2.49E-18 2.49E-18 0.00E+00 0.00E+00 0.00E+00
 2093.0 1.86E-18 1.86E-18 0.00E+00 0.00E+00 0.00E+00
 2094.0 1.41E-18 1.41E-18 0.00E+00 0.00E+00 0.00E+00
 2095.0 1.30E-18 1.30E-18 0.00E+00 0.00E+00 0.00E+00
 2096.0 9.59E-19 9.59E-19 0.00E+00 0.00E+00 0.00E+00
 2097.0 6.33E-19 6.33E-19 0.00E+00 0.00E+00 0.00E+00
 2098.0 4.30E-19 4.30E-19 0.00E+00 0.00E+00 0.00E+00
 2099.0 4.95E-19 4.95E-19 0.00E+00 0.00E+00 0.00E+00
 2100.0 5.08E-18 5.08E-18 0.00E+00 0.00E+00 0.00E+00
 2101.0 5.37E-18 5.37E-18 0.00E+00 0.00E+00 0.00E+00
 2102.0 9.82E-18 9.82E-18 0.00E+00 0.00E+00 0.00E+00
 2103.0 1.05E-17 1.05E-17 0.00E+00 0.00E+00 0.00E+00
 2104.0 8.95E-18 8.95E-18 0.00E+00 0.00E+00 0.00E+00
 2105.0 6.81E-18 6.81E-18 0.00E+00 0.00E+00 0.00E+00
 2106.0 4.92E-18 4.92E-18 0.00E+00 0.00E+00 0.00E+00
 2107.0 3.66E-18 3.66E-18 0.00E+00 0.00E+00 0.00E+00
 2108.0 2.70E-18 2.70E-18 0.00E+00 0.00E+00 0.00E+00
 2109.0 2.11E-18 2.11E-18 0.00E+00 0.00E+00 0.00E+00
 2110.0 2.08E-18 2.08E-18 0.00E+00 0.00E+00 0.00E+00
 2111.0 1.54E-18 1.54E-18 0.00E+00 0.00E+00 0.00E+00
 2112.0 1.01E-18 1.01E-18 0.00E+00 0.00E+00 0.00E+00
 2113.0 6.63E-19 6.63E-19 0.00E+00 0.00E+00 0.00E+00
 2114.0 4.61E-19 4.61E-19 0.00E+00 0.00E+00 0.00E+00
 2115.0 3.26E-19 3.26E-19 0.00E+00 0.00E+00 0.00E+00
 2116.0 3.38E-19 3.38E-19 0.00E+00 0.00E+00 0.00E+00
 2117.0 2.00E-18 2.00E-18 0.00E+00 0.00E+00 0.00E+00
 2118.0 1.16E-17 1.16E-17 0.00E+00 0.00E+00 0.00E+00
 2119.0 9.48E-18 9.48E-18 0.00E+00 0.00E+00 0.00E+00
 2120.0 7.32E-18 7.32E-18 0.00E+00 0.00E+00 0.00E+00
 2121.0 5.77E-18 5.77E-18 0.00E+00 0.00E+00 0.00E+00
 2122.0 4.94E-18 4.94E-18 0.00E+00 0.00E+00 0.00E+00
 2123.0 3.94E-18 3.94E-18 0.00E+00 0.00E+00 0.00E+00
 2124.0 3.01E-18 3.01E-18 0.00E+00 0.00E+00 0.00E+00
 2125.0 2.81E-18 2.81E-18 0.00E+00 0.00E+00 0.00E+00
 2126.0 3.05E-18 3.05E-18 0.00E+00 0.00E+00 0.00E+00
 2127.0 2.25E-18 2.25E-18 0.00E+00 0.00E+00 0.00E+00
 2128.0 1.52E-18 1.52E-18 0.00E+00 0.00E+00 0.00E+00
 2129.0 1.02E-18 1.02E-18 0.00E+00 0.00E+00 0.00E+00
 2130.0 6.95E-19 6.95E-19 0.00E+00 0.00E+00 0.00E+00
 2131.0 5.87E-19 5.87E-19 0.00E+00 0.00E+00 0.00E+00
 2132.0 4.82E-19 4.82E-19 0.00E+00 0.00E+00 0.00E+00
 2133.0 7.02E-19 7.02E-19 0.00E+00 0.00E+00 0.00E+00
 2134.0 5.50E-18 5.50E-18 0.00E+00 0.00E+00 0.00E+00
 2135.0 5.05E-18 5.05E-18 0.00E+00 0.00E+00 0.00E+00
 2136.0 7.34E-18 7.34E-18 0.00E+00 0.00E+00 0.00E+00
 2137.0 6.97E-18 6.97E-18 0.00E+00 0.00E+00 0.00E+00
 2138.0 5.40E-18 5.40E-18 0.00E+00 0.00E+00 0.00E+00
 2139.0 3.71E-18 3.71E-18 0.00E+00 0.00E+00 0.00E+00
 2140.0 2.57E-18 2.57E-18 0.00E+00 0.00E+00 0.00E+00
 2141.0 2.55E-18 2.55E-18 0.00E+00 0.00E+00 0.00E+00
 2142.0 3.18E-18 3.18E-18 0.00E+00 0.00E+00 0.00E+00
 2143.0 2.50E-18 2.50E-18 0.00E+00 0.00E+00 0.00E+00
 2144.0 1.75E-18 1.75E-18 0.00E+00 0.00E+00 0.00E+00
 2145.0 1.17E-18 1.17E-18 0.00E+00 0.00E+00 0.00E+00
 2146.0 7.82E-19 7.82E-19 0.00E+00 0.00E+00 0.00E+00
 2147.0 8.01E-19 8.01E-19 0.00E+00 0.00E+00 0.00E+00
 2148.0 8.91E-19 8.91E-19 0.00E+00 0.00E+00 0.00E+00
 2149.0 6.45E-19 6.45E-19 0.00E+00 0.00E+00 0.00E+00
 2150.0 4.14E-19 4.14E-19 0.00E+00 0.00E+00 0.00E+00
 2151.0 1.01E-18 1.01E-18 0.00E+00 0.00E+00 0.00E+00
 2152.0 5.31E-18 5.31E-18 0.00E+00 0.00E+00 0.00E+00
 2153.0 7.60E-18 7.60E-18 0.00E+00 0.00E+00 0.00E+00
 2154.0 5.91E-18 5.91E-18 0.00E+00 0.00E+00 0.00E+00
 2155.0 3.96E-18 3.96E-18 0.00E+00 0.00E+00 0.00E+00
 2156.0 2.89E-18 2.89E-18 0.00E+00 0.00E+00 0.00E+00
 2157.0 2.12E-18 2.12E-18 0.00E+00 0.00E+00 0.00E+00
 2158.0 2.15E-18 2.15E-18 0.00E+00 0.00E+00 0.00E+00
 2159.0 1.86E-18 1.86E-18 0.00E+00 0.00E+00 0.00E+00
 2160.0 1.33E-18 1.33E-18 0.00E+00 0.00E+00 0.00E+00
 2161.0 9.32E-19 9.32E-19 0.00E+00 0.00E+00 0.00E+00
 2162.0 6.69E-19 6.69E-19 0.00E+00 0.00E+00 0.00E+00
 2163.0 5.36E-19 5.36E-19 0.00E+00 0.00E+00 0.00E+00
 2164.0 1.01E-18 1.01E-18 0.00E+00 0.00E+00 0.00E+00
 2165.0 9.65E-19 9.65E-19 0.00E+00 0.00E+00 0.00E+00
 2166.0 7.11E-19 7.11E-19 0.00E+00 0.00E+00 0.00E+00
 2167.0 4.77E-19 4.77E-19 0.00E+00 0.00E+00 0.00E+00
 2168.0 5.34E-19 5.34E-19 0.00E+00 0.00E+00 0.00E+00
 2169.0 2.89E-18 2.89E-18 0.00E+00 0.00E+00 0.00E+00
 2170.0 4.08E-18 4.08E-18 0.00E+00 0.00E+00 0.00E+00
 2171.0 4.32E-18 4.32E-18 0.00E+00 0.00E+00 0.00E+00
 2172.0 3.67E-18 3.67E-18 0.00E+00 0.00E+00 0.00E+00
 2173.0 3.02E-18 3.02E-18 0.00E+00 0.00E+00 0.00E+00
 2174.0 2.09E-18 2.09E-18 0.00E+00 0.00E+00 0.00E+00
 2175.0 1.45E-18 1.45E-18 0.00E+00 0.00E+00 0.00E+00
 2176.0 1.05E-18 1.05E-18 0.00E+00 0.00E+00 0.00E+00
 2177.0 8.16E-19 8.16E-19 0.00E+00 0.00E+00 0.00E+00
 2178.0 7.07E-19 7.07E-19 0.00E+00 0.00E+00 0.00E+00
 2179.0 5.35E-19 5.35E-19 0.00E+00 0.00E+00 0.00E+00
 2180.0 4.62E-19 0.00E+00 0.00E+00 4.62E-19 0.00E+00
 2181.0 8.66E-19 0.00E+00 0.00E+00 8.66E-19 0.00E+00
 2182.0 7.39E-19 0.00E+00 0.00E+00 7.39E-19 0.00E+00
 2183.0 5.82E-19 0.00E+00 0.00E+00 5.82E-19 0.00E+00
 2184.0 3.66E-19 0.00E+00 0.00E+00 3.66E-19 0.00E+00
 2185.0 2.80E-19 0.00E+00 0.00E+00 2.80E-19 0.00E+00
 2186.0 2.83E-19 0.00E+00 0.00E+00 2.83E-19 0.00E+00
 2187.0 1.47E-18 0.00E+00 0.00E+00 1.47E-18 0.00E+00
 2188.0 3.12E-18 0.00E+00 0.00E+00 3.12E-18 0.00E+00
 2189.0 3.76E-18 0.00E+00 0.00E+00 3.76E-18 0.00E+00
 2190.0 3.02E-18 0.00E+00 0.00E+00 3.02E-18 0.00E+00
 2191.0 2.11E-18 0.00E+00 0.00E+00 2.11E-18 0.00E+00
 2192.0 1.49E-18 0.00E+00 0.00E+00 1.49E-18 0.00E+00
 2193.0 1.17E-18 0.00E+00 0.00E+00 1.17E-18 0.00E+00
 2194.0 1.01E-18 0.00E+00 0.00E+00 1.01E-18 0.00E+00
 2195.0 7.48E-19 0.00E+00 0.00E+00 7.48E-19 0.00E+00
 2196.0 5.40E-19 0.00E+00 0.00E+00 5.40E-19 0.00E+00
 2197.0 4.07E-19 0.00E+00 0.00E+00 4.07E-19 0.00E+00
 2198.0 4.33E-19 0.00E+00 0.00E+00 4.33E-19 0.00E+00
 2199.0 3.94E-19 0.00E+00 0.00E+00 3.94E-19 0.00E+00
 2200.0 2.82E-19 0.00E+00 0.00E+00 2.82E-19 0.00E+00
 2201.0 1.97E-19 0.00E+00 0.00E+00 1.97E-19 0.00E+00
 2202.0 1.43E-19 0.00E+00 0.00E+00 1.43E-19 0.00E+00
 2203.0 1.84E-19 0.00E+00 0.00E+00 1.84E-19 0.00E+00
 2204.0 2.02E-19 0.00E+00 0.00E+00 2.02E-19 0.00E+00
 2205.0 1.03E-18 0.00E+00 0.00E+00 1.03E-18 0.00E+00
 2206.0 2.40E-18 0.00E+00 0.00E+00 2.40E-18 0.00E+00
 2207.0 2.60E-18 0.00E+00 0.00E+00 2.60E-18 0.00E+00
 2208.0 1.85E-18 0.00E+00 0.00E+00 1.85E-18 0.00E+00
 2209.0 1.43E-18 0.00E+00 0.00E+00 1.43E-18 0.00E+00
 2210.0 1.20E-18 0.00E+00 0.00E+00 1.20E-18 0.00E+00
 2211.0 1.21E-18 0.00E+00 0.00E+00 1.21E-18 0.00E+00
 2212.0 9.70E-19 0.00E+00 0.00E+00 9.70E-19 0.00E+00
 2213.0 6.97E-19 0.00E+00 0.00E+00 6.97E-19 0.00E+00
 2214.0 5.25E-19 0.00E+00 0.00E+00 5.25E-19 0.00E+00
 2215.0 3.96E-19 0.00E+00 0.00E+00 3.96E-19 0.00E+00
 2216.0 2.70E-19 0.00E+00 0.00E+00 2.70E-19 0.00E+00
 2217.0 1.91E-19 0.00E+00 0.00E+00 1.91E-19 0.00E+00
 2218.0 1.38E-19 0.00E+00 0.00E+00 1.38E-19 0.00E+00
 2219.0 1.05E-19 0.00E+00 0.00E+00 1.05E-19 0.00E+00
 2220.0 9.58E-20 0.00E+00 0.00E+00 9.58E-20 0.00E+00
 2221.0 2.79E-19 0.00E+00 0.00E+00 2.79E-19 0.00E+00
 2222.0 2.37E-19 0.00E+00 0.00E+00 2.37E-19 0.00E+00
 2223.0 5.07E-19 0.00E+00 0.00E+00 5.07E-19 0.00E+00
 2224.0 1.16E-18 0.00E+00 0.00E+00 1.16E-18 0.00E+00
 2225.0 1.18E-18 0.00E+00 0.00E+00 1.18E-18 0.00E+00
 2226.0 1.00E-18 0.00E+00 0.00E+00 1.00E-18 0.00E+00
 2227.0 9.10E-19 0.00E+00 0.00E+00 9.10E-19 0.00E+00
 2228.0 9.94E-19 0.00E+00 0.00E+00 9.94E-19 0.00E+00
 2229.0 1.01E-18 0.00E+00 0.00E+00 1.01E-18 0.00E+00
 2230.0 8.93E-19 0.00E+00 0.00E+00 8.93E-19 0.00E+00
 2231.0 6.30E-19 0.00E+00 0.00E+00 6.30E-19 0.00E+00
 2232.0 4.94E-19 0.00E+00 0.00E+00 4.94E-19 0.00E+00
 2233.0 3.61E-19 0.00E+00 0.00E+00 3.61E-19 0.00E+00
 2234.0 2.37E-19 0.00E+00 0.00E+00 2.37E-19 0.00E+00
 2235.0 1.65E-19 0.00E+00 0.00E+00 1.65E-19 0.00E+00
 2236.0 1.15E-19 0.00E+00 0.00E+00 1.15E-19 0.00E+00
 2237.0 8.35E-20 0.00E+00 0.00E+00 8.35E-20 0.00E+00
 2238.0 9.11E-20 0.00E+00 0.00E+00 9.11E-20 0.00E+00
 2239.0 3.11E-19 0.00E+00 0.00E+00 3.11E-19 0.00E+00
 2240.0 4.00E-19 0.00E+00 0.00E+00 4.00E-19 0.00E+00
 2241.0 2.96E-19 0.00E+00 0.00E+00 2.96E-19 0.00E+00
 2242.0 4.16E-19 0.00E+00 0.00E+00 4.16E-19 0.00E+00
 2243.0 7.24E-19 0.00E+00 0.00E+00 7.24E-19 0.00E+00
 2244.0 6.55E-19 0.00E+00 0.00E+00 6.55E-19 0.00E+00
 2245.0 6.13E-19 0.00E+00 0.00E+00 6.13E-19 0.00E+00
 2246.0 5.92E-19 0.00E+00 0.00E+00 5.92E-19 0.00E+00
 2247.0 5.17E-19 0.00E+00 0.00E+00 5.17E-19 0.00E+00
 2248.0 5.06E-19 0.00E+00 0.00E+00 5.06E-19 0.00E+00
 2249.0 3.89E-19 0.00E+00 0.00E+00 3.89E-19 0.00E+00
 2250.0 2.98E-19 0.00E+00 0.00E+00 2.98E-19 0.00E+00
 2251.0 2.22E-19 0.00E+00 0.00E+00 2.22E-19 0.00E+00
 2252.0 1.49E-19 0.00E+00 0.00E+00 1.49E-19 0.00E+00
 2253.0 1.08E-19 0.00E+00 0.00E+00 1.08E-19 0.00E+00
 2254.0 9.33E-20 0.00E+00 0.00E+00 9.33E-20 0.00E+00
 2255.0 8.66E-20 0.00E+00 0.00E+00 8.66E-20 0.00E+00
 2256.0 7.46E-20 0.00E+00 0.00E+00 7.46E-20 0.00E+00
 2257.0 1.18E-19 0.00E+00 0.00E+00 1.18E-19 0.00E+00
 2258.0 4.62E-19 0.00E+00 0.00E+00 4.62E-19 0.00E+00
 2259.0 4.76E-19 0.00E+00 0.00E+00 4.76E-19 0.00E+00
 2260.0 4.01E-19 0.00E+00 0.00E+00 4.01E-19 0.00E+00
 2261.0 4.34E-19 0.00E+00 0.00E+00 4.34E-19 0.00E+00
 2262.0 4.07E-19 0.00E+00 0.00E+00 4.07E-19 0.00E+00
 2263.0 3.63E-19 0.00E+00 0.00E+00 3.63E-19 0.00E+00
 2264.0 3.36E-19 0.00E+00 0.00E+00 3.36E-19 0.00E+00
 2265.0 2.54E-19 0.00E+00 0.00E+00 2.54E-19 0.00E+00
 2266.0 1.83E-19 0.00E+00 0.00E+00 1.83E-19 0.00E+00
 2267.0 1.25E-19 0.00E+00 0.00E+00 1.25E-19 0.00E+00
 2268.0 1.00E-19 0.00E+00 0.00E+00 1.00E-19 0.00E+00
 2269.0 9.38E-20 0.00E+00 0.00E+00 9.38E-20 0.00E+00
 2270.0 8.61E-20 0.00E+00 0.00E+00 8.61E-20 0.00E+00
 2271.0 6.76E-20 0.00E+00 0.00E+00 6.76E-20 0.00E+00
 2272.0 6.92E-20 0.00E+00 0.00E+00 6.92E-20 0.00E+00
 2273.0 6.53E-20 0.00E+00 0.00E+00 6.53E-20 0.00E+00
 2274.0 6.48E-20 0.00E+00 0.00E+00 6.48E-20 0.00E+00
 2275.0 6.13E-20 0.00E+00 0.00E+00 6.13E-20 0.00E+00
 2276.0 8.09E-20 0.00E+00 0.00E+00 8.09E-20 0.00E+00
 2277.0 3.10E-19 0.00E+00 0.00E+00 3.10E-19 0.00E+00
 2278.0 4.42E-19 0.00E+00 0.00E+00 4.42E-19 0.00E+00
 2279.0 3.69E-19 0.00E+00 0.00E+00 3.69E-19 0.00E+00
 2280.0 3.03E-19 0.00E+00 0.00E+00 3.03E-19 0.00E+00
 2281.0 1.97E-19 0.00E+00 0.00E+00 1.97E-19 0.00E+00
 2282.0 1.87E-19 0.00E+00 0.00E+00 1.87E-19 0.00E+00
 2283.0 1.73E-19 0.00E+00 0.00E+00 1.73E-19 0.00E+00
 2284.0 1.28E-19 0.00E+00 0.00E+00 1.28E-19 0.00E+00
 2285.0 9.56E-20 0.00E+00 0.00E+00 9.56E-20 0.00E+00
 2286.0 6.62E-20 0.00E+00 0.00E+00 6.62E-20 0.00E+00
 2287.0 5.64E-20 0.00E+00 0.00E+00 5.64E-20 0.00E+00
 2288.0 7.46E-20 0.00E+00 0.00E+00 7.46E-20 0.00E+00
 2289.0 8.18E-20 0.00E+00 0.00E+00 8.18E-20 0.00E+00
 2290.0 6.44E-20 0.00E+00 0.00E+00 6.44E-20 0.00E+00
 2291.0 4.60E-20 0.00E+00 0.00E+00 4.60E-20 0.00E+00
