 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
  387.0 1.46E-19 4.86E-21 7.45E-22 1.65E-20 9.53E-20 4.76E-21 2.38E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  400.0 1.59E-19 4.17E-21 4.45E-22 1.73E-20 1.05E-19 5.09E-21 2.73E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  413.0 1.67E-19 3.21E-21 4.68E-22 1.92E-20 1.09E-19 5.85E-21 2.94E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  428.0 1.81E-19 2.17E-21 1.81E-22 1.99E-20 1.18E-19 5.97E-21 3.46E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  443.0 1.93E-19 1.36E-21 1.93E-22 2.01E-20 1.26E-19 5.79E-21 3.90E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.74E-22
  459.0 2.05E-19 1.82E-22 6.15E-22 2.28E-20 1.33E-19 5.53E-21 4.28E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.28E-22
  477.0 2.21E-19 4.42E-22 2.21E-22 2.28E-20 1.41E-19 5.97E-21 5.11E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  496.0 2.38E-19 2.74E-22 7.26E-22 2.45E-20 1.49E-19 3.76E-21 5.93E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  517.0 2.49E-19 4.48E-22 4.48E-22 2.38E-20 1.54E-19 2.71E-21 6.77E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  539.0 2.71E-19 2.71E-22 5.42E-22 2.47E-20 1.66E-19 3.25E-21 7.67E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  564.0 2.96E-19 0.00E+00 8.88E-22 2.22E-20 1.79E-19 2.96E-21 9.09E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  590.0 3.17E-19 0.00E+00 8.88E-22 1.81E-20 1.88E-19 8.88E-21 1.01E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  620.0 3.53E-19 0.00E+00 3.53E-22 1.27E-20 2.07E-19 1.73E-21 1.31E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  653.0 4.01E-19 0.00E+00 0.00E+00 7.14E-21 2.39E-19 5.78E-23 1.55E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.24E-23
  654.0 4.00E-19 0.00E+00 0.00E+00 7.00E-21 2.38E-19 0.00E+00 1.55E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.79E-23
  689.0 3.91E-19 0.00E+00 0.00E+00 2.73E-21 2.26E-19 0.00E+00 1.62E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.91E-24
  729.0 3.54E-19 0.00E+00 0.00E+00 0.00E+00 1.88E-19 0.00E+00 1.66E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  775.0 3.03E-19 0.00E+00 0.00E+00 0.00E+00 1.09E-19 0.00E+00 1.94E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  827.0 3.70E-19 0.00E+00 0.00E+00 0.00E+00 4.55E-20 0.00E+00 3.24E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  886.0 5.17E-19 0.00E+00 0.00E+00 0.00E+00 1.28E-20 0.00E+00 5.04E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.55E-22
  907.0 5.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.91E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.64E-21
  954.0 4.87E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.87E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1060.0 2.88E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.59E-17 2.09E-18 0.00E+00 0.00E+00 0.00E+00 7.89E-19
 1070.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.61E-17 2.30E-18 0.00E+00 0.00E+00 0.00E+00 5.96E-19
 1080.0 2.88E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.59E-17 2.49E-18 0.00E+00 0.00E+00 0.00E+00 3.95E-19
 1090.0 2.88E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.59E-17 2.68E-18 0.00E+00 0.00E+00 0.00E+00 1.97E-19
 1100.0 2.52E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.27E-17 2.52E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
