 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
 1960.0 2.10E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.60E-21 0.00E+00 1.45E-20 0.00E+00 4.89E-21
 1970.0 2.42E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.73E-21 0.00E+00 1.67E-20 0.00E+00 5.76E-21
 1980.0 2.82E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.88E-21 0.00E+00 1.95E-20 0.00E+00 6.87E-21
 1990.0 3.30E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.04E-21 0.00E+00 2.27E-20 0.00E+00 8.22E-21
 2000.0 3.83E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.19E-21 0.00E+00 2.64E-20 0.00E+00 9.74E-21
 2010.0 4.57E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.39E-21 0.00E+00 3.14E-20 0.00E+00 1.19E-20
 2020.0 5.15E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.45E-21 0.00E+00 3.54E-20 0.00E+00 1.37E-20
 2030.0 6.21E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.66E-21 0.00E+00 4.26E-20 0.00E+00 1.68E-20
 2040.0 7.06E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.69E-21 0.00E+00 4.84E-20 0.00E+00 1.95E-20
 2050.0 8.02E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.67E-21 0.00E+00 5.50E-20 0.00E+00 2.26E-20
 2060.0 9.48E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.71E-21 0.00E+00 6.49E-20 0.00E+00 2.72E-20
 2070.0 1.05E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.50E-21 0.00E+00 7.18E-20 0.00E+00 3.07E-20
 2080.0 1.21E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.30E-21 0.00E+00 8.27E-20 0.00E+00 3.60E-20
 2090.0 1.35E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.93E-21 0.00E+00 9.22E-20 0.00E+00 4.09E-20
 2100.0 1.51E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.44E-21 0.00E+00 1.03E-19 0.00E+00 4.66E-20
 2110.0 1.70E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.10E-22 0.00E+00 1.16E-19 0.00E+00 5.34E-20
 2120.0 1.81E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.23E-19 0.00E+00 5.78E-20
 2130.0 2.03E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.38E-19 0.00E+00 6.49E-20
 2140.0 2.22E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.51E-19 0.00E+00 7.12E-20
 2150.0 2.31E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.57E-19 0.00E+00 7.42E-20
 2160.0 2.53E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.72E-19 0.00E+00 8.14E-20
 2170.0 2.72E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.84E-19 0.00E+00 8.77E-20
 2180.0 2.69E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.82E-19 0.00E+00 8.69E-20
 2190.0 2.82E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.91E-19 0.00E+00 9.13E-20
 2200.0 3.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.04E-19 0.00E+00 9.80E-20
 2210.0 2.92E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-19 0.00E+00 9.49E-20
 2220.0 2.94E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.98E-19 0.00E+00 9.57E-20
 2230.0 3.05E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.05E-19 0.00E+00 9.95E-20
 2240.0 2.89E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.95E-19 0.00E+00 9.45E-20
 2250.0 2.84E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.91E-19 0.00E+00 9.30E-20
 2260.0 2.79E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.87E-19 0.00E+00 9.16E-20
 2270.0 2.58E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.73E-19 0.00E+00 8.48E-20
 2280.0 2.46E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.65E-19 0.00E+00 8.11E-20
 2290.0 2.34E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.57E-19 0.00E+00 7.71E-20
 2300.0 2.15E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.45E-19 0.00E+00 7.02E-20
 2310.0 1.88E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.27E-19 0.00E+00 6.09E-20
 2320.0 1.76E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E-19 0.00E+00 5.65E-20
 2330.0 1.60E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.09E-19 0.00E+00 5.09E-20
 2340.0 1.38E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.45E-20 0.00E+00 4.35E-20
 2350.0 1.20E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.25E-20 0.00E+00 3.75E-20
 2360.0 1.07E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.39E-20 0.00E+00 3.31E-20
 2370.0 9.37E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.49E-20 0.00E+00 2.88E-20
 2380.0 7.96E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.54E-20 0.00E+00 2.42E-20
 2390.0 6.71E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.69E-20 0.00E+00 2.02E-20
 2400.0 5.78E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.05E-20 0.00E+00 1.73E-20
 2410.0 5.00E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.52E-20 0.00E+00 1.48E-20
 2420.0 4.20E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.97E-20 0.00E+00 1.23E-20
 2430.0 3.48E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.47E-20 0.00E+00 1.01E-20
 2440.0 2.88E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.05E-20 0.00E+00 8.27E-21
 2450.0 2.46E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.76E-20 0.00E+00 7.00E-21
 2460.0 2.05E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.47E-20 0.00E+00 5.77E-21
 2470.0 1.69E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.22E-20 0.00E+00 4.71E-21
 2480.0 1.40E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.01E-20 0.00E+00 3.86E-21
 2490.0 1.15E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.36E-21 0.00E+00 3.14E-21
 2500.0 9.74E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.11E-21 0.00E+00 2.63E-21
 2510.0 7.56E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.54E-21 0.00E+00 2.02E-21
 2520.0 6.13E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.51E-21 0.00E+00 1.62E-21
 2530.0 5.01E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.70E-21 0.00E+00 1.31E-21
 2540.0 4.06E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-21 0.00E+00 1.06E-21
 2550.0 3.32E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.43E-21 0.00E+00 8.91E-22
 2560.0 2.71E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.97E-21 0.00E+00 7.45E-22
 2570.0 2.19E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.57E-21 0.00E+00 6.16E-22
 2580.0 1.71E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.22E-21 0.00E+00 4.92E-22
 2590.0 1.36E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.60E-22 0.00E+00 4.00E-22
 2600.0 1.11E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.76E-22 0.00E+00 3.34E-22
 2610.0 9.05E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.27E-22 0.00E+00 2.78E-22
 2620.0 7.30E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.01E-22 0.00E+00 2.29E-22
 2630.0 6.11E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.16E-22 0.00E+00 1.95E-22
 2640.0 4.93E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.32E-22 0.00E+00 1.61E-22
 2650.0 4.03E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.69E-22 0.00E+00 1.34E-22
 2660.0 3.39E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.24E-22 0.00E+00 1.15E-22
 2670.0 2.68E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.75E-22 0.00E+00 9.26E-23
 2680.0 2.14E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.39E-22 0.00E+00 7.53E-23
 2690.0 1.92E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.23E-22 0.00E+00 6.88E-23
 2700.0 1.52E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.65E-23 0.00E+00 5.55E-23
 2710.0 1.16E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.29E-23 0.00E+00 4.31E-23
 2720.0 1.06E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.60E-23 0.00E+00 4.00E-23
 2730.0 9.21E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.67E-23 0.00E+00 3.54E-23
 2740.0 6.30E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.84E-23 0.00E+00 2.46E-23
 2750.0 5.26E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.17E-23 0.00E+00 2.09E-23
 2760.0 5.61E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.35E-23 0.00E+00 2.26E-23
 2770.0 3.96E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.34E-23 0.00E+00 1.62E-23
 2780.0 2.81E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.64E-23 0.00E+00 1.17E-23
 2790.0 2.50E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.44E-23 0.00E+00 1.06E-23
 2800.0 2.38E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.36E-23 0.00E+00 1.02E-23
 2810.0 1.44E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.13E-24 0.00E+00 6.27E-24
 2820.0 1.16E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.47E-24 0.00E+00 5.13E-24
 2830.0 1.31E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.22E-24 0.00E+00 5.88E-24
 2840.0 9.90E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.40E-24 0.00E+00 4.50E-24
 2850.0 6.10E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.29E-24 0.00E+00 2.81E-24
 2860.0 6.20E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.30E-24 0.00E+00 2.90E-24
 2870.0 6.80E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.58E-24 0.00E+00 3.22E-24
 2880.0 4.80E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.49E-24 0.00E+00 2.31E-24
 2890.0 3.40E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.74E-24 0.00E+00 1.66E-24
 2900.0 3.10E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.57E-24 0.00E+00 1.53E-24
 2910.0 3.60E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.80E-24 0.00E+00 1.80E-24
 2920.0 2.40E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.40E-24
 2930.0 1.50E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-24
 2940.0 1.10E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.10E-24
 2950.0 1.50E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-24
 2960.0 1.30E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.30E-24
 3369.0 1.00E-27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-27
 3990.0 1.00E-32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-32
